inspection_id,equipment_number,equipment_name,regulatory_standard,inspection_type,inspection_date,next_due_date,inspector,inspection_company,result,finding,corrective_action_required,corrective_action_due_date,corrective_action_status,risk_ranking,functional_location
INSP-7151,SP-003,Test Separator,API 510,Pressure Vessel Inspection,2023-03-19,2023-09-15,J. Martinez (Bureau Veritas),Lloyd's Register,Pass,Grounding strap disconnected — reconnect and verify,No,,N/A,Low,OG-FIELD-WELL-TESTING
INSP-7134,SP-002,2nd Stage Separator,API 510,Pressure Vessel Inspection,2023-03-20,2024-03-19,R. Campbell (TÜV),ABS Group,Pass,Insulation damage exposing bare metal — repair before next wet season,No,,N/A,Low,OG-FIELD-PROCESSING
INSP-7014,CP-002,Crude Transfer Pump B,API 580/581,Risk-Based Inspection (RBI),2023-03-26,2025-03-25,S. Kim (Lloyd's Register),Lloyd's Register,Pass,Insulation damage exposing bare metal — repair before next wet season,No,,N/A,Medium,OG-FIELD-PRODUCTION
INSP-7058,GC-002,Booster Compressor A,API 570,Piping Inspection,2023-03-27,2023-09-23,M. Hassan (DNV),Lloyd's Register,Pass,Grounding strap disconnected — reconnect and verify,No,,N/A,Low,OG-FIELD-COMPRESSION
INSP-7187,CV-001,Separator Level Control Valve,ISA 84 / IEC 61511,SIF/SIL Verification,2023-03-31,2024-03-30,A. Patel (Intertek),Bureau Veritas,Pass,Missing nameplate/identification tag — order replacement,No,,N/A,Low,OG-FIELD-PROCESSING
INSP-7081,GC-003,Vapor Recovery Compressor,API 617,Axial & Centrifugal Compressor,2023-04-01,2025-03-31,R. Campbell (TÜV),TÜV,Pass,Minor surface corrosion on external casing — monitor at next inspection,No,,N/A,Medium,OG-FIELD-COMPRESSION
INSP-7111,HX-003,Produced Water Cooler,API 510,Pressure Vessel Inspection,2023-04-23,2023-10-20,A. Patel (Intertek),Lloyd's Register,Conditional Pass,Insulation damage exposing bare metal — repair before next wet season,Yes,2023-06-10,Closed,Medium,OG-FIELD-UTILITIES
INSP-7113,HX-003,Produced Water Cooler,API 570,Piping Inspection,2023-04-24,2024-04-23,J. Martinez (Bureau Veritas),TÜV,Conditional Pass,No defects found — equipment in good condition,Yes,2023-07-06,Closed,Low,OG-FIELD-UTILITIES
INSP-7035,CP-004,Seawater Lift Pump,API 580/581,Risk-Based Inspection (RBI),2023-05-01,2025-04-30,M. Hassan (DNV),ABS Group,Pass,Missing nameplate/identification tag — order replacement,No,,N/A,Low,OG-FIELD-UTILITIES
INSP-7087,GC-003,Vapor Recovery Compressor,EPA LDAR,Leak Detection & Repair,2023-05-01,2024-04-30,R. Campbell (TÜV),TÜV,Pass,Insulation damage exposing bare metal — repair before next wet season,No,,N/A,Low,OG-FIELD-COMPRESSION
INSP-7073,GC-002,Booster Compressor A,Vibration ISO 10816,Vibration Analysis Survey,2023-05-03,2023-10-30,A. Patel (Intertek),Lloyd's Register,Pass,Gasket seepage noted at flange joint — schedule replacement at next turnaround,No,,N/A,Low,OG-FIELD-COMPRESSION
INSP-7171,GT-002,Power Gen Turbine B,API 612,Special Purpose Steam Turbine,2023-05-08,2024-05-07,M. Hassan (DNV),TÜV,Conditional Pass,Grounding strap disconnected — reconnect and verify,Yes,2023-06-28,Closed,Medium,OG-FIELD-POWER-GEN
INSP-7115,HX-003,Produced Water Cooler,API 580/581,Risk-Based Inspection (RBI),2023-05-14,2025-05-13,M. Hassan (DNV),Lloyd's Register,Pass,Minor surface corrosion on external casing — monitor at next inspection,No,,N/A,Low,OG-FIELD-UTILITIES
INSP-7009,CP-001,Crude Transfer Pump A,Vibration ISO 10816,Vibration Analysis Survey,2023-05-26,2023-11-22,A. Patel (Intertek),TÜV,Pass,No defects found — equipment in good condition,No,,N/A,Low,OG-FIELD-PRODUCTION
INSP-7120,SP-001,1st Stage Separator,API 510,Pressure Vessel Inspection,2023-05-28,2024-05-27,R. Campbell (TÜV),Bureau Veritas,Pass,Minor surface corrosion on external casing — monitor at next inspection,No,,N/A,Medium,OG-FIELD-PROCESSING
INSP-7043,GC-001,Export Gas Compressor,API 617,Axial & Centrifugal Compressor,2023-06-04,2024-06-03,S. Kim (Lloyd's Register),ABS Group,Pass,Leak detected at valve packing — repacked and torqued to spec,No,,N/A,Low,OG-FIELD-COMPRESSION
INSP-7046,GC-001,Export Gas Compressor,OSHA PSM,Process Safety Management Audit,2023-06-27,2025-06-26,J. Martinez (Bureau Veritas),Lloyd's Register,Conditional Pass,Wall thickness reading below nominal but above minimum — increase monitoring frequency,Yes,2023-09-17,Overdue,Low,OG-FIELD-COMPRESSION
INSP-7153,SP-003,Test Separator,OSHA PSM,Process Safety Management Audit,2023-06-29,2025-06-28,S. Kim (Lloyd's Register),Bureau Veritas,Pass,Vibration levels elevated but within alarm threshold — add to watchlist,No,,N/A,Low,OG-FIELD-WELL-TESTING
INSP-7185,CV-001,Separator Level Control Valve,EPA LDAR,Leak Detection & Repair,2023-07-04,2025-07-03,R. Campbell (TÜV),ABS Group,Pass,Missing nameplate/identification tag — order replacement,No,,N/A,High,OG-FIELD-PROCESSING
INSP-7039,GC-001,Export Gas Compressor,API 570,Piping Inspection,2023-07-14,2025-07-13,T. Rodriguez (ABS Group),TÜV,Pass,Insulation damage exposing bare metal — repair before next wet season,No,,N/A,Low,OG-FIELD-COMPRESSION
INSP-7022,CP-003,Water Injection Pump,API 570,Piping Inspection,2023-07-15,2025-07-14,A. Patel (Intertek),Bureau Veritas,Conditional Pass,Gasket seepage noted at flange joint — schedule replacement at next turnaround,Yes,2023-08-30,Closed,Low,OG-FIELD-INJECTION
INSP-7037,CP-004,Seawater Lift Pump,Vibration ISO 10816,Vibration Analysis Survey,2023-07-20,2025-07-19,A. Patel (Intertek),DNV,Pass,Corrosion under insulation (CUI) detected at elbow — requires NDE follow-up,No,,N/A,Low,OG-FIELD-UTILITIES
INSP-7089,GC-003,Vapor Recovery Compressor,API 580/581,Risk-Based Inspection (RBI),2023-07-30,2024-07-29,A. Patel (Intertek),Bureau Veritas,Pass,No defects found — equipment in good condition,No,,N/A,Low,OG-FIELD-COMPRESSION
INSP-7140,SP-002,2nd Stage Separator,EPA LDAR,Leak Detection & Repair,2023-08-17,2025-08-16,A. Patel (Intertek),Intertek,Fail,Corrosion under insulation (CUI) detected at elbow — requires NDE follow-up,Yes,2023-09-16,Overdue,Low,OG-FIELD-PROCESSING
INSP-7091,GC-003,Vapor Recovery Compressor,Vibration ISO 10816,Vibration Analysis Survey,2023-08-18,2025-08-17,T. Rodriguez (ABS Group),TÜV,Pass,Grounding strap disconnected — reconnect and verify,No,,N/A,Medium,OG-FIELD-COMPRESSION
INSP-7160,SP-003,Test Separator,API 580/581,Risk-Based Inspection (RBI),2023-08-18,2024-02-14,J. Martinez (Bureau Veritas),DNV,Pass,No defects found — equipment in good condition,No,,N/A,Low,OG-FIELD-WELL-TESTING
INSP-7026,CP-003,Water Injection Pump,Vibration ISO 10816,Vibration Analysis Survey,2023-08-19,2024-08-18,T. Rodriguez (ABS Group),TÜV,Pass,No defects found — equipment in good condition,No,,N/A,Low,OG-FIELD-INJECTION
INSP-7085,GC-003,Vapor Recovery Compressor,EPA LDAR,Leak Detection & Repair,2023-08-30,2024-02-26,R. Campbell (TÜV),ABS Group,Pass,Wall thickness reading below nominal but above minimum — increase monitoring frequency,No,,N/A,Low,OG-FIELD-COMPRESSION
INSP-7021,CP-002,Crude Transfer Pump B,Vibration ISO 10816,Vibration Analysis Survey,2023-09-18,2024-09-17,M. Hassan (DNV),Intertek,Pass,Pressure gauge out of calibration — replaced on site,No,,N/A,Low,OG-FIELD-PRODUCTION
INSP-7148,SP-002,2nd Stage Separator,API 580/581,Risk-Based Inspection (RBI),2023-09-24,2025-09-23,A. Patel (Intertek),Bureau Veritas,Conditional Pass,Missing nameplate/identification tag — order replacement,Yes,2023-10-24,Overdue,Low,OG-FIELD-PROCESSING
INSP-7162,GT-001,Power Gen Turbine A,API 612,Special Purpose Steam Turbine,2023-09-26,2024-03-24,R. Campbell (TÜV),Intertek,Pass,Gasket seepage noted at flange joint — schedule replacement at next turnaround,No,,N/A,High,OG-FIELD-POWER-GEN
INSP-7088,GC-003,Vapor Recovery Compressor,API 580/581,Risk-Based Inspection (RBI),2023-09-29,2024-03-27,J. Martinez (Bureau Veritas),Lloyd's Register,Pass,Minor surface corrosion on external casing — monitor at next inspection,No,,N/A,Low,OG-FIELD-COMPRESSION
INSP-7164,GT-001,Power Gen Turbine A,OSHA PSM,Process Safety Management Audit,2023-10-07,2024-04-04,S. Kim (Lloyd's Register),DNV,Pass,Leak detected at valve packing — repacked and torqued to spec,No,,N/A,Medium,OG-FIELD-POWER-GEN
INSP-7123,SP-001,1st Stage Separator,OSHA PSM,Process Safety Management Audit,2023-10-12,2024-04-09,S. Kim (Lloyd's Register),DNV,Pass,No defects found — equipment in good condition,No,,N/A,Low,OG-FIELD-PROCESSING
INSP-7122,SP-001,1st Stage Separator,OSHA PSM,Process Safety Management Audit,2023-10-23,2024-10-22,S. Kim (Lloyd's Register),Intertek,Pass,Leak detected at valve packing — repacked and torqued to spec,No,,N/A,Medium,OG-FIELD-PROCESSING
INSP-7178,EM-001,Pump Drive Motor A,Vibration ISO 10816,Vibration Analysis Survey,2023-10-25,2024-04-22,R. Campbell (TÜV),Bureau Veritas,Pass,Wall thickness reading below nominal but above minimum — increase monitoring frequency,No,,N/A,Medium,OG-FIELD-PRODUCTION
INSP-7032,CP-004,Seawater Lift Pump,API 570,Piping Inspection,2023-10-25,2024-10-24,R. Campbell (TÜV),Lloyd's Register,Pass,Grounding strap disconnected — reconnect and verify,No,,N/A,Medium,OG-FIELD-UTILITIES
INSP-7137,SP-002,2nd Stage Separator,OSHA PSM,Process Safety Management Audit,2023-10-25,2025-10-24,S. Kim (Lloyd's Register),ABS Group,Pass,Corrosion under insulation (CUI) detected at elbow — requires NDE follow-up,No,,N/A,Medium,OG-FIELD-PROCESSING
INSP-7038,GC-001,Export Gas Compressor,API 570,Piping Inspection,2023-10-26,2024-10-25,M. Hassan (DNV),Lloyd's Register,Pass,No defects found — equipment in good condition,No,,N/A,Medium,OG-FIELD-COMPRESSION
INSP-7117,HX-003,Produced Water Cooler,API 580/581,Risk-Based Inspection (RBI),2023-10-28,2024-10-27,J. Martinez (Bureau Veritas),ABS Group,Pass,No defects found — equipment in good condition,No,,N/A,Low,OG-FIELD-UTILITIES
INSP-7057,GC-001,Export Gas Compressor,Vibration ISO 10816,Vibration Analysis Survey,2023-11-01,2024-04-29,T. Rodriguez (ABS Group),Lloyd's Register,Pass,Insulation damage exposing bare metal — repair before next wet season,No,,N/A,Medium,OG-FIELD-COMPRESSION
INSP-7036,CP-004,Seawater Lift Pump,Vibration ISO 10816,Vibration Analysis Survey,2023-11-05,2024-05-03,A. Patel (Intertek),DNV,Pass,Emergency shutdown tested — 2-second delay exceeds 1-second target — investigate,No,,N/A,Low,OG-FIELD-UTILITIES
INSP-7076,GC-003,Vapor Recovery Compressor,API 570,Piping Inspection,2023-11-09,2025-11-08,S. Kim (Lloyd's Register),Lloyd's Register,Pass,Corrosion under insulation (CUI) detected at elbow — requires NDE follow-up,No,,N/A,Medium,OG-FIELD-COMPRESSION
INSP-7044,GC-001,Export Gas Compressor,OSHA PSM,Process Safety Management Audit,2023-11-24,2025-11-23,R. Campbell (TÜV),ABS Group,Pass,Leak detected at valve packing — repacked and torqued to spec,No,,N/A,Low,OG-FIELD-COMPRESSION
INSP-7196,FP-001,Fire Water Pump,NFPA 20,Fire Pump Inspection,2023-11-25,2025-11-24,T. Rodriguez (ABS Group),ABS Group,Pass,Leak detected at valve packing — repacked and torqued to spec,No,,N/A,Medium,OG-FIELD-SAFETY-SYSTEMS
INSP-7147,SP-002,2nd Stage Separator,API 580/581,Risk-Based Inspection (RBI),2023-11-28,2024-11-27,A. Patel (Intertek),Intertek,Pass,Leak detected at valve packing — repacked and torqued to spec,No,,N/A,Medium,OG-FIELD-PROCESSING
INSP-7097,HX-001,Crude-Crude Heat Exchanger,API 580/581,Risk-Based Inspection (RBI),2023-12-01,2024-11-30,M. Hassan (DNV),DNV,Pass,Emergency shutdown tested — 2-second delay exceeds 1-second target — investigate,No,,N/A,High,OG-FIELD-PROCESSING
INSP-7158,SP-003,Test Separator,ISA 84 / IEC 61511,SIF/SIL Verification,2023-12-01,2025-11-30,M. Hassan (DNV),Bureau Veritas,Pass,Gasket seepage noted at flange joint — schedule replacement at next turnaround,No,,N/A,Medium,OG-FIELD-WELL-TESTING
INSP-7027,CP-003,Water Injection Pump,Vibration ISO 10816,Vibration Analysis Survey,2023-12-09,2024-12-08,S. Kim (Lloyd's Register),Lloyd's Register,Pass,Pressure gauge out of calibration — replaced on site,No,,N/A,Low,OG-FIELD-INJECTION
INSP-7189,CV-002,Compressor Anti-Surge Valve,EPA LDAR,Leak Detection & Repair,2023-12-18,2024-12-17,T. Rodriguez (ABS Group),Lloyd's Register,Pass,Gasket seepage noted at flange joint — schedule replacement at next turnaround,No,,N/A,High,OG-FIELD-COMPRESSION
INSP-7041,GC-001,Export Gas Compressor,API 570,Piping Inspection,2023-12-21,2024-06-18,R. Campbell (TÜV),Bureau Veritas,Conditional Pass,Leak detected at valve packing — repacked and torqued to spec,Yes,2024-01-26,Overdue,Low,OG-FIELD-COMPRESSION
INSP-7054,GC-001,Export Gas Compressor,Vibration ISO 10816,Vibration Analysis Survey,2023-12-22,2024-06-19,S. Kim (Lloyd's Register),Lloyd's Register,Conditional Pass,Pressure gauge out of calibration — replaced on site,Yes,2024-03-13,Overdue,Low,OG-FIELD-COMPRESSION
INSP-7172,GT-002,Power Gen Turbine B,OSHA PSM,Process Safety Management Audit,2023-12-30,2024-06-27,A. Patel (Intertek),DNV,Pass,Safety valve set pressure drifted +3% — recertified on site,No,,N/A,Low,OG-FIELD-POWER-GEN
INSP-7072,GC-002,Booster Compressor A,Vibration ISO 10816,Vibration Analysis Survey,2024-01-07,2024-07-05,A. Patel (Intertek),Bureau Veritas,Pass,Pressure gauge out of calibration — replaced on site,No,,N/A,Low,OG-FIELD-COMPRESSION
INSP-7149,SP-003,Test Separator,API 510,Pressure Vessel Inspection,2024-01-08,2025-01-07,R. Campbell (TÜV),Lloyd's Register,Conditional Pass,Wall thickness reading below nominal but above minimum — increase monitoring frequency,Yes,2024-03-14,Overdue,Medium,OG-FIELD-WELL-TESTING
INSP-7177,GT-002,Power Gen Turbine B,Vibration ISO 10816,Vibration Analysis Survey,2024-01-09,2025-01-08,T. Rodriguez (ABS Group),Bureau Veritas,Conditional Pass,Leak detected at valve packing — repacked and torqued to spec,Yes,2024-02-29,Open,Low,OG-FIELD-POWER-GEN
INSP-7068,GC-002,Booster Compressor A,EPA LDAR,Leak Detection & Repair,2024-01-09,2024-07-07,T. Rodriguez (ABS Group),Bureau Veritas,Pass,No defects found — equipment in good condition,No,,N/A,Low,OG-FIELD-COMPRESSION
INSP-7108,HX-002,Gas Cooler,API 580/581,Risk-Based Inspection (RBI),2024-01-11,2024-07-09,J. Martinez (Bureau Veritas),Lloyd's Register,Pass,Vibration levels elevated but within alarm threshold — add to watchlist,No,,N/A,Medium,OG-FIELD-COMPRESSION
INSP-7052,GC-001,Export Gas Compressor,API 580/581,Risk-Based Inspection (RBI),2024-01-11,2026-01-10,S. Kim (Lloyd's Register),TÜV,Pass,Vibration levels elevated but within alarm threshold — add to watchlist,No,,N/A,Medium,OG-FIELD-COMPRESSION
INSP-7154,SP-003,Test Separator,OSHA PSM,Process Safety Management Audit,2024-01-15,2024-07-13,M. Hassan (DNV),ABS Group,Pass,No defects found — equipment in good condition,No,,N/A,Medium,OG-FIELD-WELL-TESTING
INSP-7135,SP-002,2nd Stage Separator,API 510,Pressure Vessel Inspection,2024-01-20,2025-01-19,S. Kim (Lloyd's Register),Lloyd's Register,Conditional Pass,Minor surface corrosion on external casing — monitor at next inspection,Yes,2024-03-25,Open,Medium,OG-FIELD-PROCESSING
INSP-7173,GT-002,Power Gen Turbine B,OSHA PSM,Process Safety Management Audit,2024-01-29,2026-01-28,T. Rodriguez (ABS Group),Lloyd's Register,Pass,Emergency shutdown tested — 2-second delay exceeds 1-second target — investigate,No,,N/A,Medium,OG-FIELD-POWER-GEN
INSP-7190,CV-002,Compressor Anti-Surge Valve,EPA LDAR,Leak Detection & Repair,2024-02-05,2026-02-04,S. Kim (Lloyd's Register),ABS Group,Pass,Gasket seepage noted at flange joint — schedule replacement at next turnaround,No,,N/A,Low,OG-FIELD-COMPRESSION
INSP-7142,SP-002,2nd Stage Separator,EPA LDAR,Leak Detection & Repair,2024-02-19,2025-02-18,R. Campbell (TÜV),DNV,Pass,Minor surface corrosion on external casing — monitor at next inspection,No,,N/A,Low,OG-FIELD-PROCESSING
INSP-7062,GC-002,Booster Compressor A,API 617,Axial & Centrifugal Compressor,2024-03-05,2025-03-05,J. Martinez (Bureau Veritas),DNV,Pass,No defects found — equipment in good condition,No,,N/A,Medium,OG-FIELD-COMPRESSION
INSP-7094,HX-001,Crude-Crude Heat Exchanger,API 570,Piping Inspection,2024-03-09,2025-03-09,S. Kim (Lloyd's Register),Intertek,Pass,No defects found — equipment in good condition,No,,N/A,Low,OG-FIELD-PROCESSING
INSP-7096,HX-001,Crude-Crude Heat Exchanger,API 580/581,Risk-Based Inspection (RBI),2024-03-12,2025-03-12,A. Patel (Intertek),Intertek,Pass,Gasket seepage noted at flange joint — schedule replacement at next turnaround,No,,N/A,Low,OG-FIELD-PROCESSING
INSP-7010,CP-002,Crude Transfer Pump B,API 570,Piping Inspection,2024-03-19,2024-09-15,A. Patel (Intertek),TÜV,Pass,Corrosion under insulation (CUI) detected at elbow — requires NDE follow-up,No,,N/A,Low,OG-FIELD-PRODUCTION
INSP-7063,GC-002,Booster Compressor A,API 617,Axial & Centrifugal Compressor,2024-03-21,2024-09-17,A. Patel (Intertek),ABS Group,Pass,Pressure gauge out of calibration — replaced on site,No,,N/A,Low,OG-FIELD-COMPRESSION
INSP-7040,GC-001,Export Gas Compressor,API 570,Piping Inspection,2024-04-01,2025-04-01,R. Campbell (TÜV),DNV,Pass,Safety valve set pressure drifted +3% — recertified on site,No,,N/A,Low,OG-FIELD-COMPRESSION
INSP-7015,CP-002,Crude Transfer Pump B,API 580/581,Risk-Based Inspection (RBI),2024-04-01,2025-04-01,A. Patel (Intertek),TÜV,Conditional Pass,No defects found — equipment in good condition,Yes,2024-06-22,Overdue,Medium,OG-FIELD-PRODUCTION
INSP-7008,CP-001,Crude Transfer Pump A,Vibration ISO 10816,Vibration Analysis Survey,2024-04-07,2026-04-07,J. Martinez (Bureau Veritas),TÜV,Conditional Pass,Minor surface corrosion on external casing — monitor at next inspection,Yes,2024-06-06,Open,Low,OG-FIELD-PRODUCTION
INSP-7093,HX-001,Crude-Crude Heat Exchanger,API 510,Pressure Vessel Inspection,2024-04-09,2024-10-06,J. Martinez (Bureau Veritas),Intertek,Pass,No defects found — equipment in good condition,No,,N/A,Low,OG-FIELD-PROCESSING
INSP-7042,GC-001,Export Gas Compressor,API 617,Axial & Centrifugal Compressor,2024-04-09,2025-04-09,J. Martinez (Bureau Veritas),DNV,Pass,Insulation damage exposing bare metal — repair before next wet season,No,,N/A,Low,OG-FIELD-COMPRESSION
INSP-7080,GC-003,Vapor Recovery Compressor,API 617,Axial & Centrifugal Compressor,2024-04-11,2026-04-11,R. Campbell (TÜV),Lloyd's Register,Pass,Insulation damage exposing bare metal — repair before next wet season,No,,N/A,Low,OG-FIELD-COMPRESSION
INSP-7075,GC-003,Vapor Recovery Compressor,API 570,Piping Inspection,2024-04-25,2025-04-25,T. Rodriguez (ABS Group),Intertek,Pass,Corrosion under insulation (CUI) detected at elbow — requires NDE follow-up,No,,N/A,Low,OG-FIELD-COMPRESSION
INSP-7170,GT-002,Power Gen Turbine B,API 612,Special Purpose Steam Turbine,2024-05-07,2024-11-03,M. Hassan (DNV),ABS Group,Pass,Leak detected at valve packing — repacked and torqued to spec,No,,N/A,Medium,OG-FIELD-POWER-GEN
INSP-7047,GC-001,Export Gas Compressor,OSHA PSM,Process Safety Management Audit,2024-05-14,2025-05-14,M. Hassan (DNV),TÜV,Pass,Gasket seepage noted at flange joint — schedule replacement at next turnaround,No,,N/A,High,OG-FIELD-COMPRESSION
INSP-7174,GT-002,Power Gen Turbine B,Vibration ISO 10816,Vibration Analysis Survey,2024-05-31,2026-05-31,S. Kim (Lloyd's Register),Lloyd's Register,Pass,No defects found — equipment in good condition,No,,N/A,Low,OG-FIELD-POWER-GEN
INSP-7048,GC-001,Export Gas Compressor,EPA LDAR,Leak Detection & Repair,2024-06-06,2025-06-06,A. Patel (Intertek),TÜV,Fail,Corrosion under insulation (CUI) detected at elbow — requires NDE follow-up,Yes,2024-07-28,Closed,Medium,OG-FIELD-COMPRESSION
INSP-7194,CV-002,Compressor Anti-Surge Valve,ISA 84 / IEC 61511,SIF/SIL Verification,2024-06-12,2026-06-12,J. Martinez (Bureau Veritas),Lloyd's Register,Pass,Leak detected at valve packing — repacked and torqued to spec,No,,N/A,Low,OG-FIELD-COMPRESSION
INSP-7060,GC-002,Booster Compressor A,API 570,Piping Inspection,2024-06-14,2024-12-11,J. Martinez (Bureau Veritas),ABS Group,Pass,Pressure gauge out of calibration — replaced on site,No,,N/A,Medium,OG-FIELD-COMPRESSION
INSP-7025,CP-003,Water Injection Pump,API 580/581,Risk-Based Inspection (RBI),2024-06-14,2025-06-14,R. Campbell (TÜV),DNV,Pass,Safety valve set pressure drifted +3% — recertified on site,No,,N/A,High,OG-FIELD-INJECTION
INSP-7016,CP-002,Crude Transfer Pump B,API 580/581,Risk-Based Inspection (RBI),2024-06-16,2026-06-16,S. Kim (Lloyd's Register),TÜV,Pass,Wall thickness reading below nominal but above minimum — increase monitoring frequency,No,,N/A,Low,OG-FIELD-PRODUCTION
INSP-7157,SP-003,Test Separator,EPA LDAR,Leak Detection & Repair,2024-06-27,2025-06-27,M. Hassan (DNV),DNV,Conditional Pass,Missing nameplate/identification tag — order replacement,Yes,2024-08-26,Closed,Medium,OG-FIELD-WELL-TESTING
INSP-7105,HX-002,Gas Cooler,API 570,Piping Inspection,2024-07-08,2025-01-04,A. Patel (Intertek),Lloyd's Register,Pass,Missing nameplate/identification tag — order replacement,No,,N/A,Low,OG-FIELD-COMPRESSION
INSP-7197,FP-001,Fire Water Pump,NFPA 20,Fire Pump Inspection,2024-07-14,2025-01-10,S. Kim (Lloyd's Register),TÜV,Pass,No defects found — equipment in good condition,No,,N/A,Low,OG-FIELD-SAFETY-SYSTEMS
INSP-7055,GC-001,Export Gas Compressor,Vibration ISO 10816,Vibration Analysis Survey,2024-07-21,2025-07-21,T. Rodriguez (ABS Group),Intertek,Pass,Missing nameplate/identification tag — order replacement,No,,N/A,Low,OG-FIELD-COMPRESSION
INSP-7100,HX-002,Gas Cooler,API 510,Pressure Vessel Inspection,2024-07-21,2026-07-21,T. Rodriguez (ABS Group),TÜV,Pass,No defects found — equipment in good condition,No,,N/A,High,OG-FIELD-COMPRESSION
INSP-7195,CV-002,Compressor Anti-Surge Valve,ISA 84 / IEC 61511,SIF/SIL Verification,2024-07-26,2025-07-26,S. Kim (Lloyd's Register),Intertek,Pass,Wall thickness reading below nominal but above minimum — increase monitoring frequency,No,,N/A,Low,OG-FIELD-COMPRESSION
INSP-7103,HX-002,Gas Cooler,API 570,Piping Inspection,2024-07-29,2025-07-29,R. Campbell (TÜV),Lloyd's Register,Pass,Corrosion under insulation (CUI) detected at elbow — requires NDE follow-up,No,,N/A,Medium,OG-FIELD-COMPRESSION
INSP-7121,SP-001,1st Stage Separator,OSHA PSM,Process Safety Management Audit,2024-08-07,2025-08-07,J. Martinez (Bureau Veritas),Bureau Veritas,Pass,Leak detected at valve packing — repacked and torqued to spec,No,,N/A,Low,OG-FIELD-PROCESSING
INSP-7106,HX-002,Gas Cooler,API 570,Piping Inspection,2024-08-12,2025-08-12,J. Martinez (Bureau Veritas),DNV,Pass,Pressure gauge out of calibration — replaced on site,No,,N/A,Low,OG-FIELD-COMPRESSION
INSP-7150,SP-003,Test Separator,API 510,Pressure Vessel Inspection,2024-08-16,2025-08-16,T. Rodriguez (ABS Group),TÜV,Conditional Pass,Gasket seepage noted at flange joint — schedule replacement at next turnaround,Yes,2024-10-28,Open,Medium,OG-FIELD-WELL-TESTING
INSP-7012,CP-002,Crude Transfer Pump B,API 570,Piping Inspection,2024-08-19,2026-08-19,J. Martinez (Bureau Veritas),DNV,Conditional Pass,Corrosion under insulation (CUI) detected at elbow — requires NDE follow-up,Yes,2024-10-21,Overdue,Medium,OG-FIELD-PRODUCTION
INSP-7176,GT-002,Power Gen Turbine B,Vibration ISO 10816,Vibration Analysis Survey,2024-08-19,2026-08-19,A. Patel (Intertek),Lloyd's Register,Pass,Safety valve set pressure drifted +3% — recertified on site,No,,N/A,Medium,OG-FIELD-POWER-GEN
INSP-7132,SP-001,1st Stage Separator,API 580/581,Risk-Based Inspection (RBI),2024-08-28,2026-08-28,S. Kim (Lloyd's Register),DNV,Pass,Safety valve set pressure drifted +3% — recertified on site,No,,N/A,High,OG-FIELD-PROCESSING
