work_order,equipment_number,order_type,order_type_desc,activity_type,priority,status,short_text,created_date,scheduled_start,actual_start,actual_finish,downtime_hours,total_cost_usd,functional_location,planner_group,work_center
WO-4000122,CV-001,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Separator Level Control Valve,2026-03-13,2026-03-17,2026-03-17T00:00:00Z,2026-03-17T02:00:00Z,2.4,2107.27,OG-FIELD-PROCESSING,MNT-01,MECH-01
WO-4000089,GT-001,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Power Gen Turbine A,2026-03-14,2026-03-17,2026-03-17T00:00:00Z,2026-03-17T04:00:00Z,3.9,1444.95,OG-FIELD-POWER-GEN,MNT-01,MECH-01
WO-4000128,CV-002,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Compressor Anti-Surge Valve,2026-03-14,2026-03-17,2026-03-17T00:00:00Z,2026-03-17T05:00:00Z,1.5,1344.5,OG-FIELD-COMPRESSION,MNT-01,MECH-01
WO-4000143,FP-001,PM04,Inspection,Routine,3-Normal,TECO,Routine inspection - Fire Water Pump,2026-03-14,2026-03-17,2026-03-17T00:00:00Z,2026-03-17T02:00:00Z,0.0,498.56,OG-FIELD-SAFETY-SYSTEMS,MNT-01,INSP-01
WO-4000024,CP-004,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Seawater Lift Pump,2026-03-14,2026-03-17,2026-03-17T00:00:00Z,2026-03-17T04:00:00Z,3.4,2462.22,OG-FIELD-UTILITIES,MNT-01,MECH-01
WO-4000097,GT-002,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Power Gen Turbine B,2026-03-14,2026-03-17,2026-03-17T00:00:00Z,2026-03-17T07:00:00Z,2.9,3408.2,OG-FIELD-POWER-GEN,MNT-01,MECH-01
WO-4000019,CP-003,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Water Injection Pump,2026-03-15,2026-03-19,2026-03-19T00:00:00Z,2026-03-19T03:00:00Z,2.7,4233.87,OG-FIELD-INJECTION,MNT-01,MECH-01
WO-4000008,CP-001,PM04,Inspection,Routine,3-Normal,TECO,Routine inspection - Crude Transfer Pump A,2026-03-16,2026-03-19,2026-03-19T00:00:00Z,2026-03-19T01:00:00Z,0.0,730.78,OG-FIELD-PRODUCTION,MNT-01,INSP-01
WO-4000106,GT-002,PM04,Inspection,Routine,3-Normal,TECO,Routine inspection - Power Gen Turbine B,2026-03-16,2026-03-19,2026-03-19T00:00:00Z,2026-03-19T01:00:00Z,0.0,532.12,OG-FIELD-POWER-GEN,MNT-01,INSP-01
WO-4000058,HX-002,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Gas Cooler,2026-03-16,2026-03-20,2026-03-20T00:00:00Z,2026-03-20T06:00:00Z,1.8,4880.58,OG-FIELD-COMPRESSION,MNT-01,MECH-01
WO-4000039,GC-002,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Booster Compressor A,2026-03-16,2026-03-18,2026-03-18T00:00:00Z,2026-03-18T05:00:00Z,1.1,2126.12,OG-FIELD-COMPRESSION,MNT-01,MECH-01
WO-4000088,SP-003,PM04,Inspection,Routine,3-Normal,TECO,Routine inspection - Test Separator,2026-03-17,2026-03-20,2026-03-20T00:00:00Z,2026-03-20T02:00:00Z,0.0,631.55,OG-FIELD-WELL-TESTING,MNT-01,INSP-01
WO-4000083,SP-002,PM04,Inspection,Routine,3-Normal,TECO,Routine inspection - 2nd Stage Separator,2026-03-17,2026-03-20,2026-03-20T00:00:00Z,2026-03-20T01:00:00Z,0.0,363.19,OG-FIELD-PROCESSING,MNT-01,INSP-01
WO-4000077,SP-002,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - 2nd Stage Separator,2026-03-17,2026-03-20,2026-03-20T00:00:00Z,2026-03-20T05:00:00Z,3.2,1495.86,OG-FIELD-PROCESSING,MNT-01,MECH-01
WO-4000115,EM-002,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Compressor Drive Motor,2026-03-17,2026-03-21,2026-03-21T00:00:00Z,2026-03-21T06:00:00Z,1.4,4612.76,OG-FIELD-COMPRESSION,MNT-01,MECH-01
WO-4000074,SP-001,PM01,Corrective Maintenance,Breakdown,1-Emergency,TECO,Bearing replacement - 1st Stage Separator,2026-03-17,2026-03-17,2026-03-17T00:00:00Z,2026-03-17T21:54:00Z,21.9,10091.14,OG-FIELD-PROCESSING,MNT-01,MECH-01
WO-4000096,GT-001,PM04,Inspection,Routine,3-Normal,TECO,Routine inspection - Power Gen Turbine A,2026-03-17,2026-03-20,2026-03-20T00:00:00Z,2026-03-20T02:00:00Z,0.0,209.23,OG-FIELD-POWER-GEN,MNT-01,INSP-01
WO-4000001,CP-001,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Crude Transfer Pump A,2026-03-17,2026-03-19,2026-03-19T00:00:00Z,2026-03-19T07:00:00Z,3.2,2760.9,OG-FIELD-PRODUCTION,MNT-01,MECH-01
WO-4000127,CV-001,PM04,Inspection,Routine,3-Normal,TECO,Routine inspection - Separator Level Control Valve,2026-03-17,2026-03-20,2026-03-20T00:00:00Z,2026-03-20T02:00:00Z,0.0,708.21,OG-FIELD-PROCESSING,MNT-01,INSP-01
WO-4000136,FP-001,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Fire Water Pump,2026-03-18,2026-03-21,2026-03-21T00:00:00Z,2026-03-21T02:00:00Z,3.3,1924.92,OG-FIELD-SAFETY-SYSTEMS,MNT-01,MECH-01
WO-4000142,FP-001,PM04,Inspection,Routine,3-Normal,TECO,Routine inspection - Fire Water Pump,2026-03-18,2026-03-21,2026-03-21T00:00:00Z,2026-03-21T02:00:00Z,0.0,479.89,OG-FIELD-SAFETY-SYSTEMS,MNT-01,INSP-01
WO-4000107,EM-001,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Pump Drive Motor A,2026-03-18,2026-03-22,2026-03-22T00:00:00Z,2026-03-22T06:00:00Z,2.5,916.32,OG-FIELD-PRODUCTION,MNT-01,MECH-01
WO-4000085,SP-003,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Test Separator,2026-03-18,2026-03-21,2026-03-21T00:00:00Z,2026-03-21T07:00:00Z,1.3,1531.22,OG-FIELD-WELL-TESTING,MNT-01,MECH-01
WO-4000082,SP-002,PM01,Corrective Maintenance,Breakdown,1-Emergency,TECO,Bearing replacement - 2nd Stage Separator,2026-03-18,2026-03-18,2026-03-18T00:00:00Z,2026-03-18T10:30:00Z,10.5,24782.21,OG-FIELD-PROCESSING,MNT-01,MECH-01
WO-4000022,CP-003,PM01,Corrective Maintenance,Breakdown,2-Urgent,TECO,Lubrication system fault - Water Injection Pump,2026-03-19,2026-03-20,2026-03-20T00:00:00Z,2026-03-20T06:48:00Z,6.8,3550.44,OG-FIELD-INJECTION,MNT-01,MECH-01
WO-4000017,CP-002,PM04,Inspection,Routine,3-Normal,TECO,Routine inspection - Crude Transfer Pump B,2026-03-19,2026-03-22,2026-03-22T00:00:00Z,2026-03-22T01:00:00Z,0.0,678.58,OG-FIELD-PRODUCTION,MNT-01,INSP-01
WO-4000010,CP-002,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Crude Transfer Pump B,2026-03-19,2026-03-22,2026-03-22T00:00:00Z,2026-03-22T04:00:00Z,4.0,1421.4,OG-FIELD-PRODUCTION,MNT-01,MECH-01
WO-4000031,GC-001,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Export Gas Compressor,2026-03-20,2026-03-22,2026-03-22T00:00:00Z,2026-03-22T04:00:00Z,2.5,3919.44,OG-FIELD-COMPRESSION,MNT-01,MECH-01
WO-4000114,EM-001,PM04,Inspection,Routine,3-Normal,TECO,Routine inspection - Pump Drive Motor A,2026-03-20,2026-03-23,2026-03-23T00:00:00Z,2026-03-23T02:00:00Z,0.0,284.91,OG-FIELD-PRODUCTION,MNT-01,INSP-01
WO-4000120,EM-002,PM01,Corrective Maintenance,Breakdown,1-Emergency,TECO,Lubrication system fault - Compressor Drive Motor,2026-03-20,2026-03-21,2026-03-21T00:00:00Z,2026-03-21T11:30:00Z,11.5,8469.05,OG-FIELD-COMPRESSION,MNT-01,MECH-01
WO-4000051,HX-001,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Crude-Crude Heat Exchanger,2026-03-20,2026-03-24,2026-03-24T00:00:00Z,2026-03-24T05:00:00Z,1.8,4195.05,OG-FIELD-PROCESSING,MNT-01,MECH-01
WO-4000070,SP-001,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - 1st Stage Separator,2026-03-20,2026-03-22,2026-03-22T00:00:00Z,2026-03-22T05:00:00Z,2.7,3053.9,OG-FIELD-PROCESSING,MNT-01,MECH-01
WO-4000045,GC-002,PM04,Inspection,Routine,3-Normal,TECO,Routine inspection - Booster Compressor A,2026-03-21,2026-03-24,2026-03-24T00:00:00Z,2026-03-24T02:00:00Z,0.0,796.02,OG-FIELD-COMPRESSION,MNT-01,INSP-01
WO-4000103,GT-002,PM01,Corrective Maintenance,Breakdown,1-Emergency,TECO,Instrument calibration issue - Power Gen Turbine B,2026-03-21,2026-03-22,2026-03-22T00:00:00Z,2026-03-22T08:54:00Z,8.9,9282.27,OG-FIELD-POWER-GEN,MNT-01,MECH-01
WO-4000098,GT-002,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Power Gen Turbine B,2026-03-21,2026-03-25,2026-03-25T00:00:00Z,2026-03-25T06:00:00Z,1.4,4576.62,OG-FIELD-POWER-GEN,MNT-01,MECH-01
WO-4000095,GT-001,PM01,Corrective Maintenance,Breakdown,1-Emergency,TECO,Seal leak repair - Power Gen Turbine A,2026-03-21,2026-03-22,2026-03-22T00:00:00Z,2026-03-22T17:30:00Z,17.5,9147.87,OG-FIELD-POWER-GEN,MNT-01,MECH-01
WO-4000094,GT-001,PM01,Corrective Maintenance,Breakdown,1-Emergency,TECO,Abnormal noise detected - Power Gen Turbine A,2026-03-21,2026-03-22,2026-03-22T00:00:00Z,2026-03-22T12:06:00Z,12.1,23000.31,OG-FIELD-POWER-GEN,MNT-01,MECH-01
WO-4000090,GT-001,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Power Gen Turbine A,2026-03-21,2026-03-24,2026-03-24T00:00:00Z,2026-03-24T07:00:00Z,3.6,2319.34,OG-FIELD-POWER-GEN,MNT-01,MECH-01
WO-4000065,HX-003,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Produced Water Cooler,2026-03-22,2026-03-26,2026-03-26T00:00:00Z,2026-03-26T05:00:00Z,2.7,1719.75,OG-FIELD-UTILITIES,MNT-01,MECH-01
WO-4000040,GC-002,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Booster Compressor A,2026-03-22,2026-03-24,2026-03-24T00:00:00Z,2026-03-24T04:00:00Z,2.5,1705.15,OG-FIELD-COMPRESSION,MNT-01,MECH-01
WO-4000002,CP-001,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Crude Transfer Pump A,2026-03-22,2026-03-25,2026-03-25T00:00:00Z,2026-03-25T07:00:00Z,2.9,3553.58,OG-FIELD-PRODUCTION,MNT-01,MECH-01
WO-4000129,CV-002,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Compressor Anti-Surge Valve,2026-03-22,2026-03-25,2026-03-25T00:00:00Z,2026-03-25T03:00:00Z,1.3,867.15,OG-FIELD-COMPRESSION,MNT-01,MECH-01
WO-4000133,CV-002,PM01,Corrective Maintenance,Breakdown,1-Emergency,TECO,Abnormal noise detected - Compressor Anti-Surge Valve,2026-03-23,2026-03-24,2026-03-24T00:00:00Z,2026-03-24T23:30:00Z,23.5,7602.9,OG-FIELD-COMPRESSION,MNT-01,MECH-01
WO-4000126,CV-001,PM04,Inspection,Routine,3-Normal,TECO,Routine inspection - Separator Level Control Valve,2026-03-23,2026-03-26,2026-03-26T00:00:00Z,2026-03-26T02:00:00Z,0.0,755.58,OG-FIELD-PROCESSING,MNT-01,INSP-01
WO-4000055,HX-001,PM01,Corrective Maintenance,Breakdown,2-Urgent,TECO,Abnormal noise detected - Crude-Crude Heat Exchanger,2026-03-23,2026-03-24,2026-03-24T00:00:00Z,2026-03-24T02:24:00Z,2.4,21820.71,OG-FIELD-PROCESSING,MNT-01,MECH-01
WO-4000121,EM-002,PM04,Inspection,Routine,3-Normal,TECO,Routine inspection - Compressor Drive Motor,2026-03-23,2026-03-26,2026-03-26T00:00:00Z,2026-03-26T02:00:00Z,0.0,626.58,OG-FIELD-COMPRESSION,MNT-01,INSP-01
WO-4000075,SP-001,PM01,Corrective Maintenance,Breakdown,1-Emergency,TECO,Lubrication system fault - 1st Stage Separator,2026-03-23,2026-03-24,2026-03-24T00:00:00Z,2026-03-24T07:36:00Z,7.6,4296.67,OG-FIELD-PROCESSING,MNT-01,MECH-01
WO-4000018,CP-002,PM04,Inspection,Routine,3-Normal,TECO,Routine inspection - Crude Transfer Pump B,2026-03-23,2026-03-26,2026-03-26T00:00:00Z,2026-03-26T01:00:00Z,0.0,303.14,OG-FIELD-PRODUCTION,MNT-01,INSP-01
WO-4000047,GC-003,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Vapor Recovery Compressor,2026-03-23,2026-03-25,2026-03-25T00:00:00Z,2026-03-25T04:00:00Z,3.3,2406.45,OG-FIELD-COMPRESSION,MNT-01,MECH-01
WO-4000078,SP-002,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - 2nd Stage Separator,2026-03-23,2026-03-26,2026-03-26T00:00:00Z,2026-03-26T02:00:00Z,3.7,3521.15,OG-FIELD-PROCESSING,MNT-01,MECH-01
WO-4000123,CV-001,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Separator Level Control Valve,2026-03-24,2026-03-28,2026-03-28T00:00:00Z,2026-03-28T06:00:00Z,2.0,1715.31,OG-FIELD-PROCESSING,MNT-01,MECH-01
WO-4000069,HX-003,PM04,Inspection,Routine,3-Normal,TECO,Routine inspection - Produced Water Cooler,2026-03-24,2026-03-27,2026-03-27T00:00:00Z,2026-03-27T02:00:00Z,0.0,287.0,OG-FIELD-UTILITIES,MNT-01,INSP-01
WO-4000116,EM-002,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Compressor Drive Motor,2026-03-24,2026-03-27,2026-03-27T00:00:00Z,2026-03-27T07:00:00Z,2.6,2820.07,OG-FIELD-COMPRESSION,MNT-01,MECH-01
WO-4000113,EM-001,PM04,Inspection,Routine,3-Normal,TECO,Routine inspection - Pump Drive Motor A,2026-03-24,2026-03-27,2026-03-27T00:00:00Z,2026-03-27T02:00:00Z,0.0,495.14,OG-FIELD-PRODUCTION,MNT-01,INSP-01
WO-4000112,EM-001,PM01,Corrective Maintenance,Breakdown,1-Emergency,TECO,Abnormal noise detected - Pump Drive Motor A,2026-03-24,2026-03-25,2026-03-25T00:00:00Z,2026-03-25T02:30:00Z,2.5,8876.93,OG-FIELD-PRODUCTION,MNT-01,MECH-01
WO-4000064,HX-002,PM04,Inspection,Routine,3-Normal,TECO,Routine inspection - Gas Cooler,2026-03-24,2026-03-27,2026-03-27T00:00:00Z,2026-03-27T02:00:00Z,0.0,348.92,OG-FIELD-COMPRESSION,MNT-01,INSP-01
WO-4000062,HX-002,PM01,Corrective Maintenance,Breakdown,1-Emergency,TECO,Abnormal noise detected - Gas Cooler,2026-03-25,2026-03-26,2026-03-26T00:00:00Z,2026-03-26T22:54:00Z,22.9,2219.41,OG-FIELD-COMPRESSION,MNT-01,MECH-01
WO-4000071,SP-001,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - 1st Stage Separator,2026-03-25,2026-03-28,2026-03-28T00:00:00Z,2026-03-28T06:00:00Z,3.9,3394.91,OG-FIELD-PROCESSING,MNT-01,MECH-01
WO-4000063,HX-002,PM01,Corrective Maintenance,Breakdown,1-Emergency,TECO,Bearing replacement - Gas Cooler,2026-03-25,2026-03-26,2026-03-26T00:00:00Z,2026-03-26T11:48:00Z,11.8,9681.86,OG-FIELD-COMPRESSION,MNT-01,MECH-01
WO-4000076,SP-001,PM04,Inspection,Routine,3-Normal,TECO,Routine inspection - 1st Stage Separator,2026-03-25,2026-03-28,2026-03-28T00:00:00Z,2026-03-28T02:00:00Z,0.0,679.21,OG-FIELD-PROCESSING,MNT-01,INSP-01
WO-4000020,CP-003,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Water Injection Pump,2026-03-25,2026-03-28,2026-03-28T00:00:00Z,2026-03-28T02:00:00Z,2.3,1534.25,OG-FIELD-INJECTION,MNT-01,MECH-01
WO-4000059,HX-002,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Gas Cooler,2026-03-25,2026-03-28,2026-03-28T00:00:00Z,2026-03-28T04:00:00Z,3.9,3404.89,OG-FIELD-COMPRESSION,MNT-01,MECH-01
WO-4000027,CP-004,PM01,Corrective Maintenance,Breakdown,2-Urgent,TECO,Instrument calibration issue - Seawater Lift Pump,2026-03-25,2026-03-25,2026-03-25T00:00:00Z,2026-03-25T22:42:00Z,22.7,19774.66,OG-FIELD-UTILITIES,MNT-01,MECH-01
WO-4000025,CP-004,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Seawater Lift Pump,2026-03-26,2026-03-28,2026-03-28T00:00:00Z,2026-03-28T03:00:00Z,1.3,1996.13,OG-FIELD-UTILITIES,MNT-01,MECH-01
WO-4000108,EM-001,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Pump Drive Motor A,2026-03-26,2026-03-30,2026-03-30T00:00:00Z,2026-03-30T06:00:00Z,2.7,4648.93,OG-FIELD-PRODUCTION,MNT-01,MECH-01
WO-4000005,CP-001,PM01,Corrective Maintenance,Breakdown,1-Emergency,TECO,Instrument calibration issue - Crude Transfer Pump A,2026-03-26,2026-03-27,2026-03-27T00:00:00Z,2026-03-27T08:42:00Z,8.7,18533.05,OG-FIELD-PRODUCTION,MNT-01,MECH-01
WO-4000105,GT-002,PM04,Inspection,Routine,3-Normal,TECO,Routine inspection - Power Gen Turbine B,2026-03-26,2026-03-29,2026-03-29T00:00:00Z,2026-03-29T01:00:00Z,0.0,780.14,OG-FIELD-POWER-GEN,MNT-01,INSP-01
WO-4000137,FP-001,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Fire Water Pump,2026-03-26,2026-03-28,2026-03-28T00:00:00Z,2026-03-28T02:00:00Z,2.7,4495.86,OG-FIELD-SAFETY-SYSTEMS,MNT-01,MECH-01
WO-4000032,GC-001,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Export Gas Compressor,2026-03-27,2026-03-30,2026-03-30T00:00:00Z,2026-03-30T06:00:00Z,1.2,3695.5,OG-FIELD-COMPRESSION,MNT-01,MECH-01
WO-4000111,EM-001,PM01,Corrective Maintenance,Breakdown,1-Emergency,TECO,Bearing replacement - Pump Drive Motor A,2026-03-27,2026-03-28,2026-03-28T00:00:00Z,2026-03-28T15:30:00Z,15.5,24294.0,OG-FIELD-PRODUCTION,MNT-01,MECH-01
WO-4000091,GT-001,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Power Gen Turbine A,2026-03-27,2026-03-31,2026-03-31T00:00:00Z,2026-03-31T04:00:00Z,2.9,1668.44,OG-FIELD-POWER-GEN,MNT-01,MECH-01
WO-4000016,CP-002,PM01,Corrective Maintenance,Breakdown,1-Emergency,TECO,Seal leak repair - Crude Transfer Pump B,2026-03-27,2026-03-28,2026-03-28T00:00:00Z,2026-03-28T21:06:00Z,21.1,7779.73,OG-FIELD-PRODUCTION,MNT-01,MECH-01
