work_order,equipment_number,order_type,order_type_desc,activity_type,priority,status,short_text,created_date,scheduled_start,actual_start,actual_finish,downtime_hours,total_cost_usd,functional_location,planner_group,work_center
WO-4000049,GC-003,PM01,Corrective Maintenance,Breakdown,2-Urgent,TECO,Seal leak repair - Vapor Recovery Compressor,2026-03-27,2026-03-27,2026-03-27T00:00:00Z,2026-03-27T11:42:00Z,11.7,12636.15,OG-FIELD-COMPRESSION,MNT-01,MECH-01
WO-4000041,GC-002,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Booster Compressor A,2026-03-28,2026-04-01,2026-04-01T00:00:00Z,2026-04-01T07:00:00Z,1.8,3448.05,OG-FIELD-COMPRESSION,MNT-01,MECH-01
WO-4000044,GC-002,PM01,Corrective Maintenance,Breakdown,1-Emergency,TECO,Seal leak repair - Booster Compressor A,2026-03-28,2026-03-29,2026-03-29T00:00:00Z,2026-03-29T19:00:00Z,19.0,8647.2,OG-FIELD-COMPRESSION,MNT-01,MECH-01
WO-4000099,GT-002,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Power Gen Turbine B,2026-03-28,2026-03-31,2026-03-31T00:00:00Z,2026-03-31T03:00:00Z,2.4,3640.16,OG-FIELD-POWER-GEN,MNT-01,MECH-01
WO-4000011,CP-002,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Crude Transfer Pump B,2026-03-28,2026-03-30,2026-03-30T00:00:00Z,2026-03-30T06:00:00Z,1.5,1050.46,OG-FIELD-PRODUCTION,MNT-01,MECH-01
WO-4000014,CP-002,PM01,Corrective Maintenance,Breakdown,1-Emergency,TECO,Lubrication system fault - Crude Transfer Pump B,2026-03-28,2026-03-29,2026-03-29T00:00:00Z,2026-03-29T23:00:00Z,23.0,10708.31,OG-FIELD-PRODUCTION,MNT-01,MECH-01
WO-4000086,SP-003,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Test Separator,2026-03-29,2026-03-31,2026-03-31T00:00:00Z,2026-03-31T02:00:00Z,3.1,4731.63,OG-FIELD-WELL-TESTING,MNT-01,MECH-01
WO-4000102,GT-002,PM01,Corrective Maintenance,Breakdown,1-Emergency,TECO,Bearing replacement - Power Gen Turbine B,2026-03-29,2026-03-30,2026-03-30T00:00:00Z,2026-03-30T04:36:00Z,4.6,11756.49,OG-FIELD-POWER-GEN,MNT-01,MECH-01
WO-4000038,GC-001,PM04,Inspection,Routine,3-Normal,TECO,Routine inspection - Export Gas Compressor,2026-03-29,2026-04-01,2026-04-01T00:00:00Z,2026-04-01T01:00:00Z,0.0,497.97,OG-FIELD-COMPRESSION,MNT-01,INSP-01
WO-4000104,GT-002,PM01,Corrective Maintenance,Breakdown,1-Emergency,TECO,Bearing replacement - Power Gen Turbine B,2026-03-30,2026-03-31,2026-03-31T00:00:00Z,2026-03-31T13:54:00Z,13.9,7942.06,OG-FIELD-POWER-GEN,MNT-01,MECH-01
WO-4000052,HX-001,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Crude-Crude Heat Exchanger,2026-03-30,2026-04-03,2026-04-03T00:00:00Z,2026-04-03T05:00:00Z,2.5,2250.16,OG-FIELD-PROCESSING,MNT-01,MECH-01
WO-4000056,HX-001,PM04,Inspection,Routine,3-Normal,TECO,Routine inspection - Crude-Crude Heat Exchanger,2026-03-30,2026-04-02,2026-04-02T00:00:00Z,2026-04-02T02:00:00Z,0.0,299.36,OG-FIELD-PROCESSING,MNT-01,INSP-01
WO-4000028,CP-004,PM01,Corrective Maintenance,Breakdown,2-Urgent,TECO,Seal leak repair - Seawater Lift Pump,2026-03-30,2026-03-31,2026-03-31T00:00:00Z,2026-03-31T04:06:00Z,4.1,4212.98,OG-FIELD-UTILITIES,MNT-01,MECH-01
WO-4000079,SP-002,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - 2nd Stage Separator,2026-03-30,2026-04-01,2026-04-01T00:00:00Z,2026-04-01T05:00:00Z,1.1,3913.7,OG-FIELD-PROCESSING,MNT-01,MECH-01
WO-4000072,SP-001,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - 1st Stage Separator,2026-03-30,2026-04-03,2026-04-03T00:00:00Z,2026-04-03T05:00:00Z,2.6,3400.76,OG-FIELD-PROCESSING,MNT-01,MECH-01
WO-4000003,CP-001,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Crude Transfer Pump A,2026-03-31,2026-04-02,2026-04-02T00:00:00Z,2026-04-02T05:00:00Z,3.4,4488.98,OG-FIELD-PRODUCTION,MNT-01,MECH-01
WO-4000130,CV-002,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Compressor Anti-Surge Valve,2026-03-31,2026-04-02,2026-04-02T00:00:00Z,2026-04-02T02:00:00Z,4.0,1301.6,OG-FIELD-COMPRESSION,MNT-01,MECH-01
WO-4000048,GC-003,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Vapor Recovery Compressor,2026-03-31,2026-04-04,2026-04-04T00:00:00Z,2026-04-04T06:00:00Z,1.1,4232.53,OG-FIELD-COMPRESSION,MNT-01,MECH-01
WO-4000060,HX-002,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Gas Cooler,2026-04-01,2026-04-03,2026-04-03T00:00:00Z,2026-04-03T06:00:00Z,3.5,2818.79,OG-FIELD-COMPRESSION,MNT-01,MECH-01
WO-4000117,EM-002,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Compressor Drive Motor,2026-04-01,2026-04-03,2026-04-03T00:00:00Z,2026-04-03T03:00:00Z,3.7,4763.03,OG-FIELD-COMPRESSION,MNT-01,MECH-01
WO-4000138,FP-001,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Fire Water Pump,2026-04-01,2026-04-03,2026-04-03T00:00:00Z,2026-04-03T03:00:00Z,2.0,4853.82,OG-FIELD-SAFETY-SYSTEMS,MNT-01,MECH-01
WO-4000046,GC-002,PM04,Inspection,Routine,3-Normal,TECO,Routine inspection - Booster Compressor A,2026-04-02,2026-04-05,2026-04-05T00:00:00Z,2026-04-05T01:00:00Z,0.0,687.48,OG-FIELD-COMPRESSION,MNT-01,INSP-01
WO-4000109,EM-001,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Pump Drive Motor A,2026-04-02,2026-04-06,2026-04-06T00:00:00Z,2026-04-06T04:00:00Z,3.7,1842.62,OG-FIELD-PRODUCTION,MNT-01,MECH-01
WO-4000067,HX-003,PM01,Corrective Maintenance,Breakdown,3-Normal,TECO,Lubrication system fault - Produced Water Cooler,2026-04-02,2026-04-03,2026-04-03T00:00:00Z,2026-04-03T23:36:00Z,23.6,2434.8,OG-FIELD-UTILITIES,MNT-01,MECH-01
WO-4000057,HX-001,PM04,Inspection,Routine,3-Normal,TECO,Routine inspection - Crude-Crude Heat Exchanger,2026-04-02,2026-04-05,2026-04-05T00:00:00Z,2026-04-05T01:00:00Z,0.0,612.11,OG-FIELD-PROCESSING,MNT-01,INSP-01
WO-4000035,GC-001,PM01,Corrective Maintenance,Breakdown,1-Emergency,TECO,Overtemperature trip - Export Gas Compressor,2026-04-03,2026-04-04,2026-04-04T00:00:00Z,2026-04-04T23:18:00Z,23.3,11194.07,OG-FIELD-COMPRESSION,MNT-01,MECH-01
WO-4000030,CP-004,PM04,Inspection,Routine,3-Normal,TECO,Routine inspection - Seawater Lift Pump,2026-04-03,2026-04-06,2026-04-06T00:00:00Z,2026-04-06T02:00:00Z,0.0,550.05,OG-FIELD-UTILITIES,MNT-01,INSP-01
WO-4000012,CP-002,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Crude Transfer Pump B,2026-04-03,2026-04-06,2026-04-06T00:00:00Z,2026-04-06T05:00:00Z,1.2,950.68,OG-FIELD-PRODUCTION,MNT-01,MECH-01
WO-4000009,CP-001,PM04,Inspection,Routine,3-Normal,TECO,Routine inspection - Crude Transfer Pump A,2026-04-03,2026-04-06,2026-04-06T00:00:00Z,2026-04-06T02:00:00Z,0.0,324.76,OG-FIELD-PRODUCTION,MNT-01,INSP-01
WO-4000036,GC-001,PM01,Corrective Maintenance,Breakdown,1-Emergency,TECO,Instrument calibration issue - Export Gas Compressor,2026-04-03,2026-04-03,2026-04-03T00:00:00Z,2026-04-03T09:24:00Z,9.4,20385.12,OG-FIELD-COMPRESSION,MNT-01,MECH-01
WO-4000100,GT-002,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Power Gen Turbine B,2026-04-04,2026-04-06,2026-04-06T00:00:00Z,2026-04-06T07:00:00Z,4.0,3485.36,OG-FIELD-POWER-GEN,MNT-01,MECH-01
WO-4000092,GT-001,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Power Gen Turbine A,2026-04-04,2026-04-07,2026-04-07T00:00:00Z,2026-04-07T02:00:00Z,1.8,3716.66,OG-FIELD-POWER-GEN,MNT-01,MECH-01
WO-4000054,HX-001,PM01,Corrective Maintenance,Breakdown,2-Urgent,TECO,Instrument calibration issue - Crude-Crude Heat Exchanger,2026-04-04,2026-04-04,2026-04-04T00:00:00Z,2026-04-04T09:36:00Z,9.6,24715.26,OG-FIELD-PROCESSING,MNT-01,MECH-01
WO-4000004,CP-001,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Crude Transfer Pump A,2026-04-04,2026-04-08,2026-04-08T00:00:00Z,2026-04-08T02:00:00Z,2.8,4330.62,OG-FIELD-PRODUCTION,MNT-01,MECH-01
WO-4000033,GC-001,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Export Gas Compressor,2026-04-04,2026-04-06,2026-04-06T00:00:00Z,2026-04-06T05:00:00Z,2.5,2233.79,OG-FIELD-COMPRESSION,MNT-01,MECH-01
WO-4000124,CV-001,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Separator Level Control Valve,2026-04-04,2026-04-07,2026-04-07T00:00:00Z,2026-04-07T03:00:00Z,2.7,3973.48,OG-FIELD-PROCESSING,MNT-01,MECH-01
WO-4000029,CP-004,PM04,Inspection,Routine,3-Normal,TECO,Routine inspection - Seawater Lift Pump,2026-04-04,2026-04-07,2026-04-07T00:00:00Z,2026-04-07T01:00:00Z,0.0,716.92,OG-FIELD-UTILITIES,MNT-01,INSP-01
WO-4000006,CP-001,PM01,Corrective Maintenance,Breakdown,1-Emergency,TECO,High vibration alarm on Crude Transfer Pump A,2026-04-04,2026-04-05,2026-04-05T00:00:00Z,2026-04-05T05:12:00Z,5.2,24394.13,OG-FIELD-PRODUCTION,MNT-01,MECH-01
WO-4000026,CP-004,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Seawater Lift Pump,2026-04-05,2026-04-07,2026-04-07T00:00:00Z,2026-04-07T02:00:00Z,1.9,4682.6,OG-FIELD-UTILITIES,MNT-01,MECH-01
WO-4000015,CP-002,PM01,Corrective Maintenance,Breakdown,1-Emergency,TECO,Abnormal noise detected - Crude Transfer Pump B,2026-04-05,2026-04-06,2026-04-06T00:00:00Z,2026-04-06T13:48:00Z,13.8,17321.78,OG-FIELD-PRODUCTION,MNT-01,MECH-01
WO-4000021,CP-003,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Water Injection Pump,2026-04-05,2026-04-08,2026-04-08T00:00:00Z,2026-04-08T05:00:00Z,3.1,1949.55,OG-FIELD-INJECTION,MNT-01,MECH-01
WO-4000080,SP-002,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - 2nd Stage Separator,2026-04-05,2026-04-08,2026-04-08T00:00:00Z,2026-04-08T07:00:00Z,2.2,2772.85,OG-FIELD-PROCESSING,MNT-01,MECH-01
WO-4000042,GC-002,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Booster Compressor A,2026-04-05,2026-04-08,2026-04-08T00:00:00Z,2026-04-08T04:00:00Z,1.0,3108.14,OG-FIELD-COMPRESSION,MNT-01,MECH-01
WO-4000139,FP-001,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Fire Water Pump,2026-04-06,2026-04-09,2026-04-09T00:00:00Z,2026-04-09T07:00:00Z,2.0,1110.3,OG-FIELD-SAFETY-SYSTEMS,MNT-01,MECH-01
WO-4000131,CV-002,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Compressor Anti-Surge Valve,2026-04-07,2026-04-10,2026-04-10T00:00:00Z,2026-04-10T07:00:00Z,3.8,3068.88,OG-FIELD-COMPRESSION,MNT-01,MECH-01
WO-4000118,EM-002,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Compressor Drive Motor,2026-04-07,2026-04-10,2026-04-10T00:00:00Z,2026-04-10T07:00:00Z,3.2,4646.0,OG-FIELD-COMPRESSION,MNT-01,MECH-01
WO-4000135,CV-002,PM04,Inspection,Routine,3-Normal,TECO,Routine inspection - Compressor Anti-Surge Valve,2026-04-07,2026-04-10,2026-04-10T00:00:00Z,2026-04-10T01:00:00Z,0.0,200.53,OG-FIELD-COMPRESSION,MNT-01,INSP-01
WO-4000145,CP-004,PM01,Corrective Maintenance,Breakdown,1-Emergency,TECO,EMERGENCY: Mechanical seal failure - Seawater Lift Pump,2026-04-07,2026-04-07,2026-04-07T00:00:00Z,2026-04-10T00:00:00Z,72.0,48500.0,OG-FIELD-UTILITIES,MNT-01,MECH-01
WO-4000068,HX-003,PM04,Inspection,Routine,3-Normal,TECO,Routine inspection - Produced Water Cooler,2026-04-08,2026-04-11,2026-04-11T00:00:00Z,2026-04-11T02:00:00Z,0.0,354.07,OG-FIELD-UTILITIES,MNT-01,INSP-01
WO-4000081,SP-002,PM01,Corrective Maintenance,Breakdown,1-Emergency,TECO,Lubrication system fault - 2nd Stage Separator,2026-04-08,2026-04-09,2026-04-09T00:00:00Z,2026-04-09T20:18:00Z,20.3,13313.11,OG-FIELD-PROCESSING,MNT-01,MECH-01
WO-4000007,CP-001,PM01,Corrective Maintenance,Breakdown,1-Emergency,TECO,High vibration alarm on Crude Transfer Pump A,2026-04-08,2026-04-09,2026-04-09T00:00:00Z,2026-04-09T21:00:00Z,21.0,14759.94,OG-FIELD-PRODUCTION,MNT-01,MECH-01
WO-4000050,GC-003,PM04,Inspection,Routine,3-Normal,TECO,Routine inspection - Vapor Recovery Compressor,2026-04-08,2026-04-11,2026-04-11T00:00:00Z,2026-04-11T01:00:00Z,0.0,585.51,OG-FIELD-COMPRESSION,MNT-01,INSP-01
WO-4000023,CP-003,PM04,Inspection,Routine,3-Normal,TECO,Routine inspection - Water Injection Pump,2026-04-08,2026-04-11,2026-04-11T00:00:00Z,2026-04-11T02:00:00Z,0.0,715.85,OG-FIELD-INJECTION,MNT-01,INSP-01
WO-4000084,SP-002,PM04,Inspection,Routine,3-Normal,TECO,Routine inspection - 2nd Stage Separator,2026-04-08,2026-04-11,2026-04-11T00:00:00Z,2026-04-11T01:00:00Z,0.0,754.15,OG-FIELD-PROCESSING,MNT-01,INSP-01
WO-4000066,HX-003,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Produced Water Cooler,2026-04-08,2026-04-10,2026-04-10T00:00:00Z,2026-04-10T03:00:00Z,2.2,3040.89,OG-FIELD-UTILITIES,MNT-01,MECH-01
WO-4000073,SP-001,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - 1st Stage Separator,2026-04-09,2026-04-11,2026-04-11T00:00:00Z,2026-04-11T02:00:00Z,3.9,3931.81,OG-FIELD-PROCESSING,MNT-01,MECH-01
WO-4000087,SP-003,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Test Separator,2026-04-09,2026-04-11,2026-04-11T00:00:00Z,2026-04-11T02:00:00Z,2.6,4136.29,OG-FIELD-WELL-TESTING,MNT-01,MECH-01
WO-4000061,HX-002,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Gas Cooler,2026-04-09,2026-04-11,2026-04-11T00:00:00Z,2026-04-11T05:00:00Z,1.5,2082.16,OG-FIELD-COMPRESSION,MNT-01,MECH-01
WO-4000053,HX-001,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Crude-Crude Heat Exchanger,2026-04-10,2026-04-14,2026-04-14T00:00:00Z,2026-04-14T04:00:00Z,3.3,2906.62,OG-FIELD-PROCESSING,MNT-01,MECH-01
WO-4000101,GT-002,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Power Gen Turbine B,2026-04-10,2026-04-13,2026-04-13T00:00:00Z,2026-04-13T06:00:00Z,3.4,4272.39,OG-FIELD-POWER-GEN,MNT-01,MECH-01
WO-4000144,GC-002,PM03,Condition-Based Maintenance,CBM,2-Urgent,REL,CBM: Bearing temperature trending high - Booster Compressor A,2026-04-10,2026-04-12,,,0.0,0.0,OG-FIELD-COMPRESSION,MNT-01,MECH-01
WO-4000125,CV-001,PM01,Corrective Maintenance,Breakdown,2-Urgent,TECO,Bearing replacement - Separator Level Control Valve,2026-04-10,2026-04-11,2026-04-11T00:00:00Z,2026-04-11T15:24:00Z,15.4,6598.95,OG-FIELD-PROCESSING,MNT-01,MECH-01
WO-4000141,FP-001,PM01,Corrective Maintenance,Breakdown,1-Emergency,TECO,High vibration alarm on Fire Water Pump,2026-04-10,2026-04-11,2026-04-11T00:00:00Z,2026-04-11T09:42:00Z,9.7,18602.93,OG-FIELD-SAFETY-SYSTEMS,MNT-01,MECH-01
WO-4000110,EM-001,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Pump Drive Motor A,2026-04-11,2026-04-14,2026-04-14T00:00:00Z,2026-04-14T06:00:00Z,1.5,3717.5,OG-FIELD-PRODUCTION,MNT-01,MECH-01
WO-4000093,GT-001,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Power Gen Turbine A,2026-04-11,2026-04-13,2026-04-13T00:00:00Z,2026-04-13T06:00:00Z,3.1,1065.4,OG-FIELD-POWER-GEN,MNT-01,MECH-01
WO-4000013,CP-002,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Crude Transfer Pump B,2026-04-11,2026-04-13,2026-04-13T00:00:00Z,2026-04-13T07:00:00Z,2.9,2134.96,OG-FIELD-PRODUCTION,MNT-01,MECH-01
WO-4000043,GC-002,PM01,Corrective Maintenance,Breakdown,1-Emergency,TECO,Overtemperature trip - Booster Compressor A,2026-04-11,2026-04-12,2026-04-12T00:00:00Z,2026-04-12T21:54:00Z,21.9,20546.82,OG-FIELD-COMPRESSION,MNT-01,MECH-01
WO-4000034,GC-001,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Export Gas Compressor,2026-04-11,2026-04-14,2026-04-14T00:00:00Z,2026-04-14T06:00:00Z,2.7,3790.43,OG-FIELD-COMPRESSION,MNT-01,MECH-01
WO-4000119,EM-002,PM01,Corrective Maintenance,Breakdown,1-Emergency,TECO,Overtemperature trip - Compressor Drive Motor,2026-04-12,2026-04-12,2026-04-12T00:00:00Z,2026-04-12T14:30:00Z,14.5,22487.45,OG-FIELD-COMPRESSION,MNT-01,MECH-01
WO-4000037,GC-001,PM01,Corrective Maintenance,Breakdown,1-Emergency,TECO,Abnormal noise detected - Export Gas Compressor,2026-04-12,2026-04-12,2026-04-12T00:00:00Z,2026-04-12T12:42:00Z,12.7,20305.61,OG-FIELD-COMPRESSION,MNT-01,MECH-01
WO-4000134,CV-002,PM01,Corrective Maintenance,Breakdown,1-Emergency,TECO,Bearing replacement - Compressor Anti-Surge Valve,2026-04-12,2026-04-13,2026-04-13T00:00:00Z,2026-04-13T12:36:00Z,12.6,8027.72,OG-FIELD-COMPRESSION,MNT-01,MECH-01
WO-4000132,CV-002,PM01,Corrective Maintenance,Breakdown,1-Emergency,TECO,Bearing replacement - Compressor Anti-Surge Valve,2026-04-12,2026-04-12,2026-04-12T00:00:00Z,2026-04-12T17:00:00Z,17.0,20048.12,OG-FIELD-COMPRESSION,MNT-01,MECH-01
WO-4000140,FP-001,PM01,Corrective Maintenance,Breakdown,1-Emergency,TECO,Overtemperature trip - Fire Water Pump,2026-04-12,2026-04-12,2026-04-12T00:00:00Z,2026-04-12T12:36:00Z,12.6,21105.07,OG-FIELD-SAFETY-SYSTEMS,MNT-01,MECH-01
WO-4000146,GT-001,PM03,Condition-Based Maintenance,CBM,2-Urgent,CRTD,CBM: Exhaust temperature anomaly - Power Gen Turbine A,2026-04-13,2026-04-16,,,0.0,0.0,OG-FIELD-POWER-GEN,MNT-01,MECH-01
